strategy,horizon,ic,pval,n
Agent,1,-0.006537810566335193,0.8821090832162123,517
Agent,5,-0.06812827540029805,0.12477180649023588,509
Agent,15,-0.09596954732051383,0.03208338330596973,499
Fixed (OFI×LLM),1,0.02808354885987561,0.524037877948348,517
Fixed (OFI×LLM),5,0.11612497363455412,0.008732963576014687,509
Fixed (OFI×LLM),15,0.04091941745337525,0.36168437754730937,499
LM,1,-0.019916034963283112,0.6514186721273205,517
LM,5,-0.057973051650338864,0.1916156680707552,509
LM,15,-0.020232617232276748,0.6520795623919463,499
LLM,1,0.00440711708081764,0.920371834557938,517
LLM,5,-0.02580783636076908,0.5612966756354207,509
LLM,15,-0.0285878016399011,0.5240390031384581,499
OFI,1,0.03706068565788208,0.4003918905844559,517
OFI,5,0.024156844277762227,0.5866185655899964,509
OFI,15,0.02680532029835016,0.5502462588396343,499
