strategy,horizon,ic,pval,n
LM,1,0.02429014555346945,0.2303697995785248,2440
LM,5,0.005980319429272213,0.768353268351552,2428
LM,15,0.019027542304895388,0.35317686462967923,2383
LLM,1,0.02458459516180632,0.22476658384338816,2440
LLM,5,0.012808442754873165,0.528149357337012,2428
LLM,15,0.0004988475106989496,0.9805822404445846,2383
OFI,1,-0.02252624791656847,0.2660154076772385,2440
OFI,5,-0.00920160448962305,0.6504171307181176,2428
OFI,15,-0.02643473499928836,0.19705556308237734,2383
OFI x LM,1,-0.025825199737442815,0.20222792924644784,2440
OFI x LM,5,-0.015478309987567173,0.44585554385152276,2428
OFI x LM,15,-0.0019286599577229362,0.9250296270909311,2383
OFI x LLM,1,-0.008321115581998868,0.681197720893071,2440
OFI x LLM,5,-0.010431940418788904,0.6074055112282979,2428
OFI x LLM,15,0.006629325769949264,0.7463538618867643,2383
