strategy,horizon,ic,pval,n,ticker
Agent,1,-0.0217048373051777,0.5777898584277146,660,AMD
Agent,5,-0.0033720971749894,0.9313047626426552,656,AMD
Agent,15,0.0497066474069549,0.2059999301494899,649,AMD
LM,1,0.0139291087030787,0.7209538523196468,660,AMD
LM,5,0.0189456681994034,0.6281276326808173,656,AMD
LM,15,0.0744734450598466,0.0579305520179886,649,AMD
LLM,1,-0.0009347194375618,0.9808782430995998,660,AMD
LLM,5,0.006257428397856,0.8729092167294626,656,AMD
LLM,15,0.034758959891411,0.3766631421652661,649,AMD
OFI,1,0.1068144787679739,0.0060184614846505,660,AMD
OFI,5,0.0231457907598372,0.5540045017372534,656,AMD
OFI,15,0.0414831585774963,0.2913245751354289,649,AMD
Agent chosen horizon,chosen,0.0108092255271823,0.7818070774117509,659,AMD
Agent chosen horizon (random baseline),chosen_random,0.0013737720450134,,659,AMD
Agent (chose 1min),1,-0.0744945350480282,0.1555178887692188,365,AMD
Agent (chose 1min),5,-0.0799097109494376,0.1291265357847594,362,AMD
Agent (chose 1min),15,-0.0677775902840492,0.2007566120098805,358,AMD
Agent (chose 5min),1,0.0327586868540988,0.5818066765550326,285,AMD
Agent (chose 5min),5,0.0194842508304049,0.7437152975486865,284,AMD
Agent (chose 5min),15,0.125089946794023,0.036101597783811,281,AMD
Agent (chose 15min),1,0.0692317002711914,0.8492794475812135,10,AMD
Agent (chose 15min),5,0.3272771285547231,0.3559611634165648,10,AMD
Agent (chose 15min),15,0.4450629862086599,0.1974328978145719,10,AMD
Agent,1,0.0529975680121869,0.2289886821787123,517,QCOM
Agent,5,-0.0357652525674421,0.4207188888849199,509,QCOM
Agent,15,-0.07666453456424,0.0871218149632581,499,QCOM
Fixed (OFI×LLM),1,0.0280835488598756,0.524037877948348,517,QCOM
Fixed (OFI×LLM),5,0.1161249736345541,0.0087329635760146,509,QCOM
Fixed (OFI×LLM),15,0.0409194174533752,0.3616843775473093,499,QCOM
LM,1,-0.0199160349632831,0.6514186721273205,517,QCOM
LM,5,-0.0579730516503388,0.1916156680707552,509,QCOM
LM,15,-0.0202326172322767,0.6520795623919463,499,QCOM
LLM,1,0.0044071170808176,0.920371834557938,517,QCOM
LLM,5,-0.025807836360769,0.5612966756354207,509,QCOM
LLM,15,-0.0285878016399011,0.5240390031384581,499,QCOM
OFI,1,0.037060685657882,0.4003918905844559,517,QCOM
OFI,5,0.0241568442777622,0.5866185655899964,509,QCOM
OFI,15,0.0268053202983501,0.5502462588396343,499,QCOM
Agent chosen horizon,chosen,-0.0622528936612093,0.1587459680969476,514,QCOM
Agent chosen horizon (random baseline),chosen_random,-0.0005763844800712,,514,QCOM
Agent (chose 1min),1,0.0014667936722708,0.9778127744536884,362,QCOM
Agent (chose 1min),5,0.0188641859403379,0.7228079514315351,356,QCOM
Agent (chose 1min),15,-0.013085442285859,0.807548637521935,349,QCOM
Agent (chose 5min),1,0.1390504002959477,0.1038377697473002,138,QCOM
Agent (chose 5min),5,-0.0894061096721533,0.2988207413701179,137,QCOM
Agent (chose 5min),15,-0.1138779260917636,0.1884693586769869,135,QCOM
Agent (chose 15min),1,0.0024707405538775,0.9924911369673236,17,QCOM
Agent (chose 15min),5,0.1899185046113217,0.481118979836999,16,QCOM
Agent (chose 15min),15,-0.2826375367574876,0.3074005853017777,15,QCOM
Agent,1,0.006664064300102,0.757565080930536,2148,NFLX
Agent,5,0.0065189594153065,0.7635438264361663,2132,NFLX
Agent,15,0.0175726820996516,0.4218964116957673,2091,NFLX
LM,1,-0.0292415028945996,0.1754995384732048,2148,NFLX
LM,5,0.0069239181902694,0.7493333914442617,2132,NFLX
LM,15,0.0007623952609891,0.9722060867057384,2091,NFLX
LLM,1,-0.0209869337649691,0.3309449672235839,2148,NFLX
LLM,5,0.0062280870860547,0.77380051197704,2132,NFLX
LLM,15,0.0241239272719239,0.2701893593196093,2091,NFLX
OFI,1,-0.0089013659951249,0.6801082827618127,2148,NFLX
OFI,5,-0.0146026345680833,0.5003771180784942,2132,NFLX
OFI,15,-0.0198298367821884,0.3647692366219361,2091,NFLX
Agent chosen horizon,chosen,0.0065185907992702,0.7629114483547752,2144,NFLX
Agent chosen horizon (random baseline),chosen_random,0.0013694634181963,,2144,NFLX
Agent (chose 1min),1,-0.0192982931539415,0.4499228139639,1535,NFLX
Agent (chose 1min),5,-0.0001591498961981,0.99504849912297,1523,NFLX
Agent (chose 1min),15,-0.0131317036561884,0.6126343287022457,1489,NFLX
Agent (chose 5min),1,-0.0226979842628187,0.5986804510894955,540,NFLX
Agent (chose 5min),5,-0.0133963494776387,0.7567681121385316,537,NFLX
Agent (chose 5min),15,0.0279850867802354,0.5203085529647309,530,NFLX
Agent (chose 15min),1,-0.0161751498541998,0.8919603535868784,73,NFLX
Agent (chose 15min),5,0.0519113127365651,0.6649673971037768,72,NFLX
Agent (chose 15min),15,0.0112702192125437,0.925140727935088,72,NFLX
