window,scorer,horizon,ic,ci_lo,ci_hi,p_boot,n
2016-2020,LM,1,-0.008777387185055887,-0.026742595330489463,0.010234513968785561,0.808,12430
2016-2020,LM,5,-0.009447515621839191,-0.0261952292203167,0.009289489083269964,0.843,12342
2016-2020,LM,15,0.002199631868127686,-0.014726073790048038,0.02070327068282077,0.41,12115
2016-2020,LLM,1,0.006763428696274325,-0.011687282314292561,0.02473896391909472,0.23,12430
2016-2020,LLM,5,0.003933008221613009,-0.012691762462464543,0.02156536757626563,0.322,12342
2016-2020,LLM,15,0.011322481523005391,-0.005509027201625455,0.03039331002551263,0.116,12115
2016-2020,OFI,1,0.010538700247915703,-0.006335465016985446,0.028044804415132848,0.123,12430
2016-2020,OFI,5,-0.009709028298618118,-0.02779238041121051,0.007085834921650693,0.868,12342
2016-2020,OFI,15,-0.013678947520757021,-0.030725806543755126,0.0032068886400945748,0.934,12115
2025,LM,1,-0.00990386793939567,-0.049164528418586234,0.03066228271030421,0.661,2480
2025,LM,5,-0.02136822373827724,-0.061586669295857106,0.016099866272830225,0.866,2462
2025,LM,15,0.031888821260294006,-0.007312431903172051,0.06992678195195669,0.061,2423
2025,LLM,1,0.0030609898600132703,-0.03646808093792093,0.04633978051760419,0.445,2480
2025,LLM,5,0.03368931783675071,-0.006570539759860088,0.07390142637357687,0.052,2462
2025,LLM,15,0.005879956474040813,-0.03250384745325507,0.05004774753504388,0.359,2423
2025,OFI,1,-0.0003107980417444542,-0.042330170108601156,0.04017409513853566,0.509,2480
2025,OFI,5,0.0007080354879922572,-0.03962241135613882,0.039538474533316416,0.475,2462
2025,OFI,15,0.05435945138187579,0.014021167655286298,0.09659825707248273,0.004,2423
