relevance,horizon,ic,ci_lo,ci_hi,p_boot,n
direct,1,-0.0066769234371294745,-0.06562688095177012,0.05367575301093199,0.604,1085
direct,5,-0.0025414730646241383,-0.058824715692962486,0.06359370097381807,0.512,1076
direct,15,0.0060528744129997305,-0.05346859967675553,0.07189722139181848,0.411,1057
macro,1,-0.018796364543236025,-0.09231461204304449,0.051728001360608664,0.713,773
macro,5,0.002900098863528284,-0.07472384010882135,0.07023063142183349,0.488,768
macro,15,0.03201302986561234,-0.043894355033291546,0.101948874880736,0.203,754
sector,1,0.03722013913513027,-0.03045415462466126,0.10677784078960956,0.127,862
sector,5,0.05674147996604843,-0.006772781356607545,0.126262336839379,0.04,857
sector,15,0.05351070798295699,-0.016287429744830793,0.11791315455360436,0.065,843
unrelated,1,0.045986520977534896,-0.008058834728757548,0.10238798992319907,0.051,1271
unrelated,5,-0.01567515378488427,-0.07282984540252946,0.03769309132956349,0.696,1259
unrelated,15,-0.010787836953767666,-0.06712470043297657,0.046196720739341154,0.628,1231
