ticker,horizon,gross_ic,net_ic,coverage_frac,mean_cost_bps,n
AAPL,1,0.01080088599133138,-0.20406303521509128,1.0,3.372332738088258,6234
AAPL,5,-0.004262491593071311,-0.11940054315185139,1.0,3.3866873749657658,6191
AAPL,15,-0.001957238349239864,-0.08069157793153424,1.0,3.425037183164486,6076
AMD,1,0.055824362084194966,-0.3106969040042311,1.0,7.113749908115786,660
AMD,5,0.0074990906981609986,-0.17901745285427448,1.0,7.139265963285372,656
AMD,15,0.045544554287590036,-0.08694457690130505,1.0,7.061850823936395,649
JPM,1,-0.008321115581998868,-0.2649301918136128,1.0,3.771422886103139,2440
JPM,5,-0.010431940418788904,-0.14605101478615143,1.0,3.78339822875932,2428
JPM,15,0.006629325769949264,-0.07944180259713092,1.0,3.8238877844572587,2383
MU,1,0.002457939135312979,-0.24400777842049606,1.0,3.420373891614636,431
MU,5,-0.052528313846112715,-0.1580198784950675,1.0,3.4162079216830326,426
MU,15,-0.022472187204161616,-0.08767102738067203,1.0,3.397876607894563,417
NFLX,1,-0.016144084126572266,-0.5165298671042655,1.0,35.61356203567603,2148
NFLX,5,-0.01857232796217439,-0.3482758519272538,1.0,35.831418189519255,2132
NFLX,15,0.022829225156383408,-0.2587003246938961,1.0,35.96840122151431,2091
QCOM,1,0.02808354885987561,-0.2581870141925639,1.0,4.791664497348501,517
QCOM,5,0.11612497363455412,-0.026457413692941873,1.0,4.844115317856705,509
QCOM,15,0.04091941745337525,-0.06028280231319936,1.0,4.894892795703922,499
