notebook,cell_id,stock,scorer,horizon,n,ic,ci_lo,ci_hi,p,p_adj,reject_fdr
4,cmp_TSLA_LM_15m,TSLA,LM,15.0,382.0,0.1338651112206398,0.0425086318157769,0.2231216364116757,0.003,0.226,False
1,uncond_2025_OFI_15m,pooled,OFI,15.0,2423.0,0.0543594513818757,0.0140211676552862,0.0965982570724827,0.004,0.226,False
4,cmp_NVDA_LLM_5m,NVDA,LLM,5.0,858.0,0.0814331213121477,0.0126089251316188,0.1486702695841254,0.008,0.30133333333333334,False
4,cmp_META_OFI×LM_1m,META,OFI×LM,1.0,442.0,0.0787722061465357,-0.0170698460031735,0.1763603753011658,0.048,0.5650000000000001,False
4,cmp_NVDA_OFI×LM_5m,NVDA,OFI×LM,5.0,858.0,0.05957861064392,-0.0037651675680955,0.1258554461403443,0.028,0.5650000000000001,False
1,uncond_2025_LLM_5m,pooled,LLM,5.0,2462.0,0.0336893178367507,-0.00657053975986,0.0739014263735768,0.052,0.5650000000000001,False
4,oos_LLM_5m,pooled_2025,LLM,5.0,2462.0,0.0336893178367507,-0.00657053975986,0.0739014263735768,0.052,0.5650000000000001,False
4,cmp_META_LLM_5m,META,LLM,5.0,439.0,0.0863042263859312,-0.0084899586924752,0.1688296489079771,0.036,0.5650000000000001,False
1,uncond_2025_LM_15m,pooled,LM,15.0,2423.0,0.031888821260294,-0.007312431903172,0.0699267819519566,0.061,0.5650000000000001,False
4,rel_sector_5m,agent_pooled,ofi_x_llm|sector,5.0,857.0,0.0567414799660484,-0.0067727813566075,0.126262336839379,0.04,0.5650000000000001,False
4,rel_sector_15m,agent_pooled,ofi_x_llm|sector,15.0,843.0,0.0535107079829569,-0.0162874297448307,0.1179131545536043,0.065,0.5650000000000001,False
4,rel_unrelated_1m,agent_pooled,ofi_x_llm|unrelated,1.0,1271.0,0.0459865209775348,-0.0080588347287575,0.102387989923199,0.051,0.5650000000000001,False
4,oos_LM_15m,pooled_2025,LM,15.0,2423.0,0.031888821260294,-0.007312431903172,0.0699267819519566,0.061,0.5650000000000001,False
2,split_conflicted_15m,pooled,ofi_x_llm,15.0,5519.0,0.0158088065255852,-0.0124317102624442,0.0402352424953422,0.129,0.7475384615384615,False
4,cmp_AMD_LLM_15m,AMD,LLM,15.0,264.0,0.0745251859860474,-0.0512087740586627,0.1964514956618774,0.135,0.7475384615384615,False
4,oos_OFI×LLM_1m,pooled_2025,OFI×LLM,1.0,2480.0,0.0250744391576214,-0.016083849101093,0.0662784089611117,0.116,0.7475384615384615,False
4,cmp_NVDA_OFI×LLM_15m,NVDA,OFI×LLM,15.0,846.0,0.0349865106975049,-0.0344936636139771,0.1102811814824759,0.172,0.7475384615384615,False
4,cmp_AAPL_OFI×LLM_1m,AAPL,OFI×LLM,1.0,507.0,0.0451168764144765,-0.0494695184516274,0.1334946703841514,0.167,0.7475384615384615,False
4,cmp_AMD_OFI×LM_15m,AMD,OFI×LM,15.0,264.0,0.0689741213876261,-0.0457449849863348,0.1896452593017345,0.138,0.7475384615384615,False
2,wald_llm_score_15m,pooled,llm_score,15.0,12115.0,,,,0.1695596565673429,0.7475384615384615,False
4,rel_sector_1m,agent_pooled,ofi_x_llm|sector,1.0,862.0,0.0372201391351302,-0.0304541546246612,0.1067778407896095,0.127,0.7475384615384615,False
4,oos_OFI×LLM_5m,pooled_2025,OFI×LLM,5.0,2462.0,0.0202475911195223,-0.0181307485314724,0.0612904484826592,0.15,0.7475384615384615,False
1,uncond_2016-2020_LLM_15m,pooled,LLM,15.0,12115.0,0.0113224815230053,-0.0055090272016254,0.0303933100255126,0.116,0.7475384615384615,False
1,uncond_2016-2020_OFI_1m,pooled,OFI,1.0,12430.0,0.0105387002479157,-0.0063354650169854,0.0280448044151328,0.123,0.7475384615384615,False
4,cmp_NVDA_LLM_15m,NVDA,LLM,15.0,846.0,0.03731459497124,-0.0409672902941005,0.105723551257262,0.161,0.7475384615384615,False
4,cmp_TSLA_OFI×LLM_1m,TSLA,OFI×LLM,1.0,395.0,0.0529052137400689,-0.0417835792566909,0.1505320201998908,0.142,0.7475384615384615,False
4,cmp_AMD_OFI×LM_5m,AMD,OFI×LM,5.0,271.0,0.0601425604435828,-0.0590316415718894,0.1823451160675009,0.181,0.7575185185185185,False
4,cmp_NVDA_LM_1m,NVDA,LM,1.0,865.0,0.0294415681634456,-0.0415170542822972,0.0920965646379392,0.206,0.7642368421052632,False
4,cmp_TSLA_LM_1m,TSLA,LM,1.0,395.0,0.0363312777095488,-0.0753234214496807,0.1308594666667605,0.244,0.7642368421052632,False
4,cmp_AMD_LM_15m,AMD,LM,15.0,264.0,0.0370900044235213,-0.0752127289270383,0.156501641257293,0.251,0.7642368421052632,False
1,uncond_2016-2020_LLM_1m,pooled,LLM,1.0,12430.0,0.0067634286962743,-0.0116872823142925,0.0247389639190947,0.23,0.7642368421052632,False
4,cmp_TSLA_LLM_1m,TSLA,LLM,1.0,395.0,0.0370131059919725,-0.0573771694889802,0.1342591107119266,0.219,0.7642368421052632,False
4,rel_macro_15m,agent_pooled,ofi_x_llm|macro,15.0,754.0,0.0320130298656123,-0.0438943550332915,0.101948874880736,0.203,0.7642368421052632,False
4,cmp_NVDA_OFI×LLM_5m,NVDA,OFI×LLM,5.0,858.0,0.0254437916451198,-0.0453015268141397,0.0908230322892903,0.235,0.7642368421052632,False
4,cmp_TSLA_OFI×LLM_5m,TSLA,OFI×LLM,5.0,392.0,0.0312833074627844,-0.0647030083397154,0.1299949860666625,0.257,0.7642368421052632,False
2,split_all_15m,pooled,ofi_x_llm,15.0,12115.0,0.0070919701362144,-0.0130731174186103,0.0242121321174669,0.226,0.7642368421052632,False
4,cmp_NVDA_OFI×LM_15m,NVDA,OFI×LM,15.0,846.0,0.0269546603434967,-0.0356564278141464,0.0942709535573886,0.204,0.7642368421052632,False
4,cmp_NVDA_LM_15m,NVDA,LM,15.0,846.0,0.0254549972494516,-0.0395896603455225,0.0899325400385256,0.238,0.7642368421052632,False
2,split_all_1m,pooled,ofi_x_llm,1.0,12430.0,0.0053942507752265,-0.0119567047012526,0.0229197624915661,0.275,0.7967948717948719,False
4,cmp_META_OFI×LM_15m,META,OFI×LM,15.0,433.0,0.0238399806194067,-0.0716185431909442,0.1227341945175756,0.312,0.8007413793103448,False
4,cmp_AMD_OFI×LLM_1m,AMD,OFI×LLM,1.0,271.0,0.0131304163043114,-0.1119827198348237,0.1460884564508522,0.404,0.8007413793103448,False
4,cmp_NVDA_LLM_1m,NVDA,LLM,1.0,865.0,0.011965924837753,-0.0577119013929386,0.0766648635814093,0.372,0.8007413793103448,False
1,uncond_2016-2020_LM_15m,pooled,LM,15.0,12115.0,0.0021996318681276,-0.014726073790048,0.0207032706828207,0.41,0.8007413793103448,False
