stock,signal,horizon,ic_madj,p_madj,n,p_adj,reject_fdr
TSLA|unrelated,OFI×LLM,15,0.17145974506136302,0.051,147,0.6012857142857142,False
NVDA,LM,1,0.09706333418644694,0.021,865,0.6012857142857142,False
AAPL,OFI×LLM|confirmed,5,0.18058950170290483,0.061,167,0.6012857142857142,False
AMD,LLM,15,0.11720562945498232,0.056,264,0.6012857142857142,False
AMD|unrelated,OFI×LLM,5,0.25809782528352665,0.016,82,0.6012857142857142,False
TSLA,LLM,1,0.12011916682433914,0.057,395,0.6012857142857142,False
AAPL,LM,5,0.10254953806828544,0.049,502,0.6012857142857142,False
AMD,LLM,5,0.10723801699434628,0.077,271,0.664125,False
AMD|unrelated,OFI×LLM,15,0.06081022054785105,0.316,81,0.759,False
AMD,OFI×LLM|confirmed,1,0.03817727146429565,0.392,92,0.759,False
TSLA|unrelated,OFI×LLM,5,0.12737501650189642,0.101,150,0.759,False
AMD,OFI×LLM|confirmed,15,0.03822326125073058,0.375,90,0.759,False
META,OFI×LLM|confirmed,5,0.12798250691362792,0.182,140,0.759,False
META,OFI×LLM|confirmed,15,0.08547954393024813,0.245,137,0.759,False
TSLA,OFI×LLM|confirmed,1,0.03089747151986664,0.428,143,0.759,False
AMD|macro,OFI×LLM,1,0.16315789473684209,0.257,27,0.759,False
AMD|macro,OFI×LLM,5,0.10175438596491228,0.342,27,0.759,False
AMD|sector,OFI×LLM,1,0.13008989952406133,0.161,73,0.759,False
TSLA|sector,OFI×LLM,5,0.0378317334839074,0.421,64,0.759,False
TSLA|macro,OFI×LLM,5,0.1170212765957447,0.247,55,0.759,False
AMD|sector,OFI×LLM,15,0.05795875198307772,0.325,71,0.759,False
AMD|unrelated,OFI×LLM,1,0.07802957508571735,0.29,82,0.759,False
TSLA|direct,OFI×LLM,15,0.0879120879120879,0.389,119,0.759,False
TSLA|direct,OFI×LLM,1,0.18681318681318684,0.286,125,0.759,False
AMD|sector,OFI×LLM,5,0.14442094130089897,0.13,73,0.759,False
AAPL,LM,1,0.06632076901448272,0.155,507,0.759,False
AMD,OFI×LLM|confirmed,5,0.10036121144762435,0.219,92,0.759,False
META,LLM,5,0.030454733464097234,0.303,439,0.759,False
META,LM,5,0.031210920408480194,0.292,439,0.759,False
AMD,LLM,1,0.07113747790787804,0.171,271,0.759,False
AMD,LM,15,0.029109358372409785,0.344,264,0.759,False
AMD,LM,5,0.02586106864299961,0.354,271,0.759,False
NVDA,LLM,1,0.039969087487358716,0.189,865,0.759,False
NVDA,LM,15,0.021630507776465042,0.324,846,0.759,False
AAPL,LLM,15,0.023870492611350342,0.371,498,0.759,False
NVDA,LLM,15,0.0071557428109410804,0.418,846,0.759,False
AAPL,LLM,5,0.034803400051078286,0.308,502,0.759,False
AAPL,LM,15,0.017105634870306342,0.4,498,0.759,False
NVDA,LLM,5,0.009370601383060258,0.429,858,0.759,False
AMD|direct,OFI×LLM,5,0.013333333333333332,0.469,89,0.7892926829268292,False
TSLA|unrelated,OFI×LLM,1,0.015530427378805155,0.464,150,0.7892926829268292,False
TSLA|sector,OFI×LLM,15,0.015245623941276118,0.482,63,0.7918571428571427,False
TSLA,OFI×LLM|confirmed,5,0.0002778549597110309,0.501,143,0.8039302325581396,False
AMD|macro,OFI×LLM,15,-0.02456140350877193,0.56,27,0.8136249999999999,False
AMD|direct,OFI×LLM,1,-0.037948717948717944,0.552,89,0.8136249999999999,False
TSLA,LM,15,-0.007558334308460111,0.566,382,0.8136249999999999,False
AAPL,OFI×LLM|confirmed,15,-0.01566995717565105,0.556,163,0.8136249999999999,False
META,OFI×LLM|confirmed,1,-0.008778699594829251,0.522,142,0.8136249999999999,False
TSLA|macro,OFI×LLM,1,-0.027520814061054583,0.582,55,0.8195510204081632,False
TSLA,LM,1,-0.016343206203881702,0.609,395,0.8404200000000001,False
META,LLM,15,-0.02115159256996198,0.625,433,0.8412692307692308,False
AMD|direct,OFI×LLM,15,-0.07846153846153846,0.634,85,0.8412692307692308,False
TSLA|direct,OFI×LLM,5,-0.1252747252747253,0.661,123,0.8605471698113207,False
META,LLM,1,-0.04246179718478046,0.749,442,0.9526451612903226,False
NVDA,OFI×LLM|confirmed,5,-0.06083772180768891,0.81,361,0.9526451612903226,False
TSLA,LLM,5,-0.07254106459470351,0.808,392,0.9526451612903226,False
META,LM,15,-0.05493094970937911,0.778,433,0.9526451612903226,False
AMD,LM,1,-0.0699232280807901,0.824,271,0.9526451612903226,False
TSLA|sector,OFI×LLM,1,-0.23517786561264822,0.847,65,0.9526451612903226,False
AAPL,OFI×LLM|confirmed,1,-0.12073684717252496,0.837,169,0.9526451612903226,False
TSLA|macro,OFI×LLM,15,-0.11452358926919518,0.763,53,0.9526451612903226,False
AAPL,LLM,1,-0.06638171472818073,0.856,507,0.9526451612903226,False
META,LM,1,-0.07612028850445957,0.892,442,0.9532615384615385,False
TSLA,OFI×LLM|confirmed,15,-0.15912516533882926,0.898,136,0.9532615384615385,False
NVDA,LM,5,-0.05407511129035921,0.89,858,0.9532615384615385,False
NVDA,OFI×LLM|confirmed,15,-0.09718691895405723,0.919,353,0.9607727272727273,False
NVDA,OFI×LLM|confirmed,1,-0.11125171500767785,0.938,363,0.9659999999999999,False
TSLA,LLM,15,-0.12938891283271486,0.956,382,0.9700588235294118,False
TSLA,LM,5,-0.13711217847771245,0.979,392,0.979,False
