label,group,n,ic,ci_lo,ci_hi,p,trades,bh_reject
agent_chosen_h,AAPL,164,0.008574234543249428,-0.1440778719448312,0.16225198794336032,0.449,164,False
agent_chosen_h,NVDA,352,-0.10690551209366747,-0.21612840335008757,-0.0009916826553418784,0.976,359,False
agent_chosen_h,AMD,148,-0.10689086533820509,-0.27336515838250075,0.07195430054063127,0.878,154,False
agent_chosen_h,META,134,-0.044366933294414705,-0.21872978200401355,0.12299222171601525,0.675,136,False
agent_chosen_h,TSLA,238,0.02501337113453553,-0.10964667185315459,0.16295067357461826,0.358,241,False
agent_chosen_h,PEP,22,-0.019898132169838427,-0.4324075468767635,0.4183873503359967,0.538,24,False
agent_chosen_h,GILD,27,0.14949078735301563,-0.28764404484895567,0.515448671871174,0.234,27,False
agent_chosen_h,HON,19,0.09026902148911055,-0.4111196207622147,0.5031631175541904,0.356,19,False
agent_chosen_h,SOFI,29,-0.04778584640947094,-0.38690856313368066,0.32731798155715686,0.615,30,False
agent_chosen_h,CELH,9,,,,,9,False
agent_chosen_h,POOLED,1142,-0.02978366770143073,-0.09001043130593774,0.025075914852466703,0.853,1163,False
