label,group,n,ic,ci_lo,ci_hi,p,threshold,horizon,ticker,pct_of_trades,bh_reject
size>=0.3,AAPL_h1,158,0.04089371509864834,-0.1304981081017686,0.20924914576693965,0.332,0.3,1,AAPL,0.9634146341463414,False
size>=0.3,AAPL_h5,158,-0.03958488340076946,-0.1961919715522226,0.11631345196852048,0.694,0.3,5,AAPL,0.9634146341463414,False
size>=0.3,AAPL_h15,154,-0.014669477872504224,-0.18164279310257553,0.14842557944584953,0.583,0.3,15,AAPL,0.9634146341463414,False
size>=0.3,NVDA_h1,347,0.0398578207690098,-0.06784707494436255,0.15025060466519272,0.224,0.3,1,NVDA,0.9721448467966574,False
size>=0.3,NVDA_h5,344,-0.09130619757773771,-0.19163070191548096,0.011286807141573735,0.954,0.3,5,NVDA,0.9721448467966574,False
size>=0.3,NVDA_h15,335,-0.09169061667673854,-0.20341510314885125,0.018822756515788394,0.952,0.3,15,NVDA,0.9721448467966574,False
size>=0.3,AMD_h1,152,-0.16094748575175827,-0.3270045456028401,-0.007288670049349536,0.978,0.3,1,AMD,0.9935064935064936,False
size>=0.3,AMD_h5,149,-0.08933791710752004,-0.24021944698157818,0.06299955910023576,0.853,0.3,5,AMD,0.9935064935064936,False
size>=0.3,AMD_h15,138,-0.11784010182988523,-0.26685715488053735,0.045064548809190356,0.914,0.3,15,AMD,0.9935064935064936,False
size>=0.3,META_h1,131,-0.1051073488769787,-0.27008715260869154,0.07825197699399448,0.88,0.3,1,META,0.9632352941176471,False
size>=0.3,META_h5,130,-0.01754623384485852,-0.18844294763374533,0.1505001135987045,0.615,0.3,5,META,0.9632352941176471,False
size>=0.3,META_h15,127,-0.013159777438264662,-0.17742877005102697,0.15995463528194853,0.578,0.3,15,META,0.9632352941176471,False
size>=0.3,TSLA_h1,238,-0.05803497640179698,-0.19030635114206648,0.07695870681753622,0.801,0.3,1,TSLA,0.9875518672199171,False
size>=0.3,TSLA_h5,237,0.013476180607739505,-0.12992894139135128,0.13733421493645423,0.432,0.3,5,TSLA,0.9875518672199171,False
