label,group,n,ic,ci_lo,ci_hi,p,horizon,ticker,bh_reject
rel=direct,AAPL_h1,89,0.078985965771646,-0.15749284127459315,0.29886649985041175,0.271,1,AAPL,False
rel=direct,AAPL_h5,89,-0.01744899402795792,-0.2491031904725138,0.1890064072947537,0.561,5,AAPL,False
rel=direct,AAPL_h15,86,0.006779695557933074,-0.2100465838355528,0.24147441087267119,0.483,15,AAPL,False
rel=direct,NVDA_h1,153,0.12482160834711786,-0.015157198884444646,0.27049363551815725,0.049,1,NVDA,False
rel=direct,NVDA_h5,151,-0.04940852012775811,-0.20550269849010228,0.10893494779262487,0.714,5,NVDA,False
rel=direct,NVDA_h15,148,-0.08417005020583257,-0.2372275458513373,0.07606779402481131,0.833,15,NVDA,False
rel=direct,AMD_h1,82,-0.05593980220312809,-0.2820739701302982,0.16781073902970828,0.682,1,AMD,False
rel=direct,AMD_h5,81,-0.1350561797148167,-0.34737472077336484,0.0884152705732637,0.869,5,AMD,False
rel=direct,AMD_h15,73,-0.004702599796026454,-0.24310457217169967,0.239058320224244,0.481,15,AMD,False
rel=direct,META_h1,79,-0.14101013648949745,-0.3604680255160434,0.08276719481575884,0.882,1,META,False
rel=direct,META_h5,78,0.018901052007585538,-0.18726051631027635,0.2010472944750865,0.456,5,META,False
rel=direct,META_h15,77,-0.03582288547623425,-0.25649175528586304,0.17938574841101146,0.625,15,META,False
rel=direct,TSLA_h1,156,-0.091305350442997,-0.24588545480065196,0.07899407377884597,0.853,1,TSLA,False
rel=direct,TSLA_h5,155,0.028392676821649133,-0.1445582521192559,0.19325356275484593,0.349,5,TSLA,False
rel=direct,TSLA_h15,149,0.03235765236598964,-0.129899148810874,0.2068038987994804,0.361,15,TSLA,False
rel=direct,PEP_h1,23,-0.26169789032556356,-0.579170463934389,0.1694313426568587,0.884,1,PEP,False
rel=direct,PEP_h5,22,0.08241124294453309,-0.3061818460373895,0.48376400221987476,0.368,5,PEP,False
rel=direct,PEP_h15,21,0.20268539072163008,-0.23769974456840437,0.6114670381263053,0.183,15,PEP,False
rel=direct,GILD_h1,21,0.005246155423492974,-0.4944895010289315,0.4633051400450498,0.476,1,GILD,False
rel=direct,GILD_h5,21,-0.14033465757843705,-0.5924421144139932,0.34741738044448406,0.686,5,GILD,False
rel=direct,GILD_h15,21,-0.08262694792001433,-0.5601589526329639,0.4012784742076557,0.631,15,GILD,False
rel=direct,HON_h1,16,-0.1741194816929797,-0.7293325109706252,0.47573796168002214,0.712,1,HON,False
rel=direct,HON_h5,16,0.22323010473458937,-0.37620447087598624,0.7016616870152043,0.231,5,HON,False
rel=direct,HON_h15,16,-0.011905605585844766,-0.5961031775297635,0.6048351054005029,0.517,15,HON,False
rel=direct,SOFI_h1,27,0.2245213520187134,-0.13541792691962892,0.5431937773654373,0.141,1,SOFI,False
rel=direct,SOFI_h5,26,-0.011238036288729138,-0.44827291770535577,0.47286347265275935,0.514,5,SOFI,False
rel=direct,SOFI_h15,24,0.009755833765024367,-0.4172286900237352,0.45610921684851635,0.481,15,SOFI,False
rel=direct,CELH_h1,8,,,,,1,CELH,False
rel=direct,CELH_h5,8,,,,,5,CELH,False
rel=direct,CELH_h15,8,,,,,15,CELH,False
rel=direct,POOLED_h1,654,-0.005685071179877784,-0.0802702538262289,0.06878803165457903,0.566,1,POOLED,False
rel=direct,POOLED_h5,647,-0.018343130363727898,-0.09430580525666046,0.05827431292062633,0.659,5,POOLED,False
rel=direct,POOLED_h15,623,-0.013880354212054129,-0.093153709782527,0.06481068796389955,0.633,15,POOLED,False
rel=sector,AAPL_h1,70,-0.03821572120352872,-0.2698294615751892,0.20505151676122177,0.623,1,AAPL,False
rel=sector,AAPL_h5,70,0.03729378426880687,-0.176984143955495,0.2721284491864516,0.358,5,AAPL,False
rel=sector,AAPL_h15,69,-0.10439895229699403,-0.33818690593870604,0.14639565832884444,0.776,15,AAPL,False
rel=sector,NVDA_h1,195,-0.02431991309039722,-0.16552480333125733,0.11843395693634946,0.621,1,NVDA,False
rel=sector,NVDA_h5,194,-0.1070311250386328,-0.23647218698743305,0.030557016515571297,0.936,5,NVDA,False
rel=sector,NVDA_h15,188,-0.04029247528975174,-0.18544301557126522,0.08255688735081453,0.732,15,NVDA,False
rel=sector,AMD_h1,69,-0.09679981905594923,-0.3192015078536415,0.15966974396804248,0.759,1,AMD,False
rel=sector,AMD_h5,68,0.027500397545700342,-0.23000375608675952,0.2625115555853073,0.442,5,AMD,False
rel=sector,AMD_h15,66,-0.14316308354483842,-0.39483205242256897,0.08832037079447339,0.876,15,AMD,False
rel=sector,META_h1,55,-0.0022198602031968527,-0.28734019668851274,0.3002564121759343,0.482,1,META,False
rel=sector,META_h5,55,-0.05071232360751431,-0.3234089490532634,0.2417945182055916,0.616,5,META,False
rel=sector,META_h15,54,0.03937069528187003,-0.22220612604913717,0.31648109227386184,0.36,15,META,False
rel=sector,TSLA_h1,79,0.28366587483600975,0.10157739789231025,0.46395855124957136,0.0,1,TSLA,True
rel=sector,TSLA_h5,79,0.11729662247399761,-0.09438188989125147,0.3259997428882212,0.159,5,TSLA,False
rel=sector,TSLA_h15,77,0.23383239809525702,0.007780650599054427,0.4448999176802229,0.024,15,TSLA,False
rel=sector,GILD_h1,6,,,,,1,GILD,False
rel=sector,GILD_h5,6,,,,,5,GILD,False
rel=sector,GILD_h15,6,,,,,15,GILD,False
rel=sector,HON_h1,3,,,,,1,HON,False
rel=sector,HON_h5,3,,,,,5,HON,False
rel=sector,HON_h15,3,,,,,15,HON,False
rel=sector,SOFI_h1,3,,,,,1,SOFI,False
rel=sector,SOFI_h5,3,,,,,5,SOFI,False
rel=sector,SOFI_h15,3,,,,,15,SOFI,False
rel=sector,POOLED_h1,480,0.00420381537298072,-0.088642824560256,0.08600950323669275,0.483,1,POOLED,False
rel=sector,POOLED_h5,478,-0.012314100247999813,-0.10357658112659855,0.0842085605189197,0.633,5,POOLED,False
rel=sector,POOLED_h15,466,0.007057794011993352,-0.07888347860475463,0.09558787331556341,0.442,15,POOLED,False
rel=macro,AAPL_h1,5,,,,,1,AAPL,False
rel=macro,AAPL_h5,5,,,,,5,AAPL,False
rel=macro,AAPL_h15,5,,,,,15,AAPL,False
rel=macro,NVDA_h1,9,,,,,1,NVDA,False
rel=macro,NVDA_h5,9,,,,,5,NVDA,False
rel=macro,NVDA_h15,9,,,,,15,NVDA,False
rel=macro,TSLA_h1,6,,,,,1,TSLA,False
rel=macro,TSLA_h5,6,,,,,5,TSLA,False
rel=macro,TSLA_h15,6,,,,,15,TSLA,False
rel=macro,POOLED_h1,20,0.2586068291713242,,,0.136,1,POOLED,False
rel=macro,POOLED_h5,20,0.009357483950278179,,,0.465,5,POOLED,False
rel=macro,POOLED_h15,20,0.029773812569066933,,,0.441,15,POOLED,False
