signal,ticker,horizon,ret_type,n,ic,ci_lo,ci_hi,p,bh_reject,total_pnl,mean_per_trade,hit_rate,std_pnl
llm,AAPL,1,raw,502,-0.04792823940033239,-0.13767912587181894,0.0464395240537031,0.858,False,-0.006224680588040756,-1.2399762127571226e-05,0.4957983193277311,0.0005625981969285624
llm,AAPL,5,raw,498,0.005309162672946806,-0.0747666073619291,0.09769723354428986,0.441,False,0.00017175073380378686,3.448809915738692e-07,0.5111111111111111,0.0010864377598717395
llm,AAPL,15,raw,484,0.026832403602840466,-0.060444467503036656,0.11330672489578753,0.261,False,0.05747872110627687,0.00011875768823610925,0.5213675213675214,0.0017056135755191748
llm,AMD,1,raw,265,-0.10809185478752839,-0.23337487814034855,0.015764312012563078,0.955,False,-0.02035294329293762,-7.680355959599102e-05,0.4579831932773109,0.001418657099518532
llm,AMD,5,raw,262,-0.01566635053831084,-0.13214154255339094,0.09746701660050183,0.633,False,-0.047081834992902784,-0.0001797016602782549,0.49137931034482757,0.0028325337402759694
llm,AMD,15,raw,246,-0.04403511914756773,-0.1810764960309132,0.0787634335548321,0.73,False,-0.07909410488639201,-0.00032152075157069923,0.44642857142857145,0.004160732291680701
llm,CELH,1,raw,27,0.11289025037017325,-0.29903341766932634,0.5408658934050539,0.31,False,0.0009784583142734993,3.623919682494442e-05,0.5454545454545454,0.0011368512911033492
llm,CELH,5,raw,27,-0.05159321603022003,-0.4342240505645116,0.3806105350421943,0.615,False,-0.016642203130328898,-0.0006163778937158851,0.48,0.003237118780838543
llm,CELH,15,raw,26,-0.2895604797905284,-0.6670555485934373,0.21544636282531493,0.892,False,-0.0658954144997319,-0.0025344390192204576,0.375,0.005888782520612495
llm,GILD,1,raw,53,0.0600734211395375,-0.19596225407282825,0.32387932749752785,0.324,False,0.010917786907030824,0.00020599597937794007,0.54,0.0011302156692291365
llm,GILD,5,raw,53,-0.16399634945397978,-0.45371164948100756,0.10652862032218571,0.868,False,0.013533146345608864,0.0002553423838794125,0.5306122448979592,0.0020971364286235124
llm,GILD,15,raw,52,0.014957376225708481,-0.25832310347198595,0.3030817685820541,0.471,False,0.02381120564794742,0.0004579078009220658,0.42857142857142855,0.004156485140768324
llm,HON,1,raw,37,0.06058570519442773,-0.29626398107971647,0.38212682167310624,0.396,False,0.001111266432664515,3.0034227909851755e-05,0.45454545454545453,0.000682713637199772
llm,HON,5,raw,37,-0.08975575441656856,-0.42699833160449446,0.2672816818802052,0.673,False,-0.004121039133773323,-0.00011137943604792766,0.42857142857142855,0.001044222111321987
llm,HON,15,raw,37,-0.06390416431543038,-0.42445070233488974,0.2956996936731317,0.642,False,0.0019322234181224135,5.2222254543849014e-05,0.5142857142857142,0.0022045428118133373
llm,META,1,raw,433,0.006606792827181586,-0.08870528952376162,0.11146612246970465,0.434,False,-0.011851874751691704,-2.7371535223306477e-05,0.5046728971962616,0.0006102229962014889
llm,META,5,raw,428,-0.06245903218841399,-0.15662551091462212,0.03484117930373606,0.899,False,-0.04806320813881411,-0.00011229721527760306,0.4672897196261682,0.0013013050102900015
llm,META,15,raw,415,-0.01518496808497509,-0.11891889609516279,0.09004444487130016,0.611,False,-0.03190695386084327,-7.688422617070668e-05,0.5176848874598071,0.002317812243423407
llm,NVDA,1,raw,918,-0.023845360851215497,-0.09313345898928165,0.04312781724219882,0.763,False,-0.0031173252349740183,-3.3957791230653794e-06,0.49814585908529047,0.0008113557324204399
llm,NVDA,5,raw,910,-0.1160813496756022,-0.18331778787930467,-0.05305089767942686,0.999,False,-0.15238903268810045,-0.00016746047548142905,0.45006165228113443,0.0019649286635963735
llm,NVDA,15,raw,883,-0.11389005393560668,-0.18294116056733317,-0.046198271142089915,0.999,False,-0.33536228532037515,-0.0003797987376221689,0.450063211125158,0.0033118885477108535
llm,PEP,1,raw,44,-0.12791778048747005,-0.40943965197357507,0.17774352173927702,0.801,False,-0.005073621477211786,-0.0001153095790275406,0.45,0.000925849440593781
llm,PEP,5,raw,43,0.024678803869087648,-0.30515417283303237,0.36044608692972735,0.45,False,0.014285723170598978,0.00033222612024648787,0.5263157894736842,0.0018632150632582336
llm,PEP,15,raw,41,-0.02215595682476662,-0.3264687966654416,0.29849596434896075,0.569,False,0.02541093345217993,0.0006197788646873153,0.5833333333333334,0.004669132046887303
llm,SOFI,1,raw,92,0.05132158101734947,-0.16227131159461197,0.25579979938788233,0.319,False,0.0022162419447599017,2.4089586356085887e-05,0.475,0.001515111905146597
llm,SOFI,5,raw,91,0.11618181097094955,-0.1131530818274493,0.3191597295266409,0.153,False,-0.009900272250893192,-0.00010879420055926584,0.5,0.0037196576332392214
llm,SOFI,15,raw,89,0.06205352567874522,-0.14701523401107375,0.2626537966349058,0.295,False,0.003217089920436014,3.6147077757708026e-05,0.49382716049382713,0.005089694938606725
llm,TSLA,1,raw,494,0.03640050951162977,-0.05138436957276286,0.12309347996932361,0.203,False,0.027398249192407725,5.5462042899610776e-05,0.5340909090909091,0.001239420008319951
llm,TSLA,5,raw,487,0.04158002730538063,-0.052706286980979386,0.13190379231207372,0.16,False,0.002115420118484243,4.343778477380376e-06,0.5,0.0024990823665327587
