signal,target,ic,ci_lo,ci_hi,p,n,bh_reject
llm,ret_15m,-0.05809635623518453,-0.12309292028039322,0.0030403518211796093,0.968,913,False
llm,ret_1m,-0.022730328340699078,-0.08430775786608515,0.04625935955830834,0.749,971,False
llm,ret_5m,-0.030975832816811048,-0.09745406865975448,0.030861919784402538,0.842,956,False
lm,ret_15m,0.019716208756572207,-0.043969038417664474,0.07701798143546108,0.286,913,False
lm,ret_1m,0.04612719038483578,-0.011761267600451633,0.10441144063221143,0.061,971,False
lm,ret_5m,-0.01816922175554913,-0.08093024498354993,0.04421665189328644,0.728,956,False
ofi,ret_15m,-0.019558651401853817,-0.08504994316939948,0.047942978336609536,0.725,913,False
ofi,ret_1m,-0.037400705783358704,-0.10561406666487498,0.032721421681653616,0.868,971,False
ofi,ret_5m,-0.01866248551004482,-0.08731985740941953,0.04968896889986024,0.72,956,False
ofi_x_llm,ret_15m,0.02263646316128087,-0.04537830191575289,0.0827353668509742,0.248,913,False
ofi_x_llm,ret_1m,0.0073940191348687125,-0.05537525960591253,0.06968913587865429,0.43,971,False
ofi_x_llm,ret_5m,0.03972630947412024,-0.023928641248031162,0.10830347835180902,0.115,956,False
ofi_x_lm,ret_15m,-0.052315662803018886,-0.11709713061926778,0.009715074324829974,0.948,913,False
ofi_x_lm,ret_1m,-0.02167100932563452,-0.08473298694646819,0.03966045718299901,0.755,971,False
ofi_x_lm,ret_5m,-0.02633975420176692,-0.09293151510146312,0.033993395434400143,0.784,956,False
