signal,target,ic,ci_lo,ci_hi,p,n,bh_reject
llm,ret_15m,-0.03958205804351919,-0.07678045049282682,3.6477173044644467e-06,0.975,2743,False
llm,ret_1m,-0.014076583729470018,-0.05136357362067655,0.021410060336314617,0.783,2865,False
llm,ret_5m,-0.03749728120980195,-0.07464060715931026,0.00015936489492267576,0.974,2836,False
lm,ret_15m,0.013944276461978976,-0.02302356468168153,0.052404398233030634,0.229,2743,False
lm,ret_1m,0.0439600546976539,0.008451255449588097,0.08220991202138668,0.012,2865,False
lm,ret_5m,-0.020179918619321224,-0.05704763736232269,0.015884713699222692,0.862,2836,False
ofi,ret_15m,0.014354039192736335,-0.027211102410765627,0.054309679063178795,0.253,2743,False
ofi,ret_1m,0.015426354263192658,-0.02623846133409292,0.05349965134415067,0.234,2865,False
ofi,ret_5m,0.02339987319923152,-0.013934634388203039,0.06022804415066353,0.11,2836,False
ofi_x_llm,ret_15m,-0.00047259124368631783,-0.041268844561452835,0.035706604745412214,0.517,2743,False
ofi_x_llm,ret_1m,0.0030372393139247293,-0.03549663829561355,0.043625700795781944,0.453,2865,False
ofi_x_llm,ret_5m,0.019080882803913818,-0.019717814582717,0.058838573539060954,0.172,2836,False
ofi_x_lm,ret_15m,-0.021913675834109202,-0.060350750428311305,0.013497248554296907,0.88,2743,False
ofi_x_lm,ret_1m,-0.031968806744394423,-0.06492577289642107,0.0025326845586783222,0.96,2865,False
ofi_x_lm,ret_5m,-0.011447478001559873,-0.04845297437530514,0.028277424964643114,0.71,2836,False
