ticker,scorer,horizon,ic,ci_lo,ci_hi,p_boot,n
AAPL,OFI×LLM,1,0.04511687641447655,-0.049469518451627455,0.13349467038415144,0.167,507
AAPL,OFI×LLM,5,0.019810534658177184,-0.07714247559308124,0.10815312491626833,0.351,502
AAPL,OFI×LLM,15,0.013564673694359295,-0.07802182811803847,0.09712196383110847,0.388,498
AAPL,OFI×LM,1,-0.0024359619018075847,-0.08729854503450166,0.08458035596579928,0.501,507
AAPL,OFI×LM,5,0.0008043992376379975,-0.08825439211438234,0.09701906718571955,0.47,502
AAPL,OFI×LM,15,-0.06746385581764777,-0.1583847035546434,0.031982131278973265,0.92,498
AAPL,LLM,1,0.015192205450556055,-0.0756066317918621,0.10473698198350645,0.361,507
AAPL,LLM,5,-0.02403763153334112,-0.11315155911738597,0.06893473051694979,0.708,502
AAPL,LLM,15,-0.07858951583965473,-0.16203629986740892,0.014160295859297312,0.948,498
AAPL,LM,1,-0.04261113517324632,-0.1305218911740998,0.04160127717328585,0.826,507
AAPL,LM,5,-0.015539004478161773,-0.10146619206302133,0.07460999011114203,0.639,502
AAPL,LM,15,-0.022414994780812433,-0.11017709395852474,0.06330168593399431,0.677,498
AMD,OFI×LLM,1,0.013130416304311469,-0.11198271983482372,0.14608845645085228,0.404,271
AMD,OFI×LLM,5,0.013445458212509675,-0.11839178600467289,0.1448325267651949,0.429,271
AMD,OFI×LLM,15,-0.007126051080284265,-0.13331487810166243,0.1132108872298612,0.571,264
AMD,OFI×LM,1,0.022598360865116202,-0.09564592600195779,0.1554770001652224,0.348,271
AMD,OFI×LM,5,0.060142560443582814,-0.0590316415718894,0.18234511606750098,0.181,271
AMD,OFI×LM,15,0.06897412138762615,-0.04574498498633483,0.18964525930173456,0.138,264
AMD,LLM,1,-0.03565323711615701,-0.16216563950507787,0.0873237151609541,0.708,271
AMD,LLM,5,-0.02325150718433858,-0.15186072891221966,0.09950413506211934,0.633,271
AMD,LLM,15,0.07452518598604746,-0.05120877405866272,0.19645149566187742,0.135,264
AMD,LM,1,-0.0640484759619399,-0.19403513989561036,0.051662638731730826,0.862,271
AMD,LM,5,-0.013304758174284824,-0.12363595366911821,0.10089272574459934,0.573,271
AMD,LM,15,0.037090004423521374,-0.07521272892703834,0.15650164125729302,0.251,264
META,OFI×LLM,1,-0.017503457408199485,-0.1116143236736273,0.07447765168472222,0.662,442
META,OFI×LLM,5,-0.007811367681196546,-0.09742470381470984,0.0828230319477872,0.56,439
META,OFI×LLM,15,0.015900492902315176,-0.08627015435246854,0.10785872007949965,0.377,433
META,OFI×LM,1,0.07877220614653571,-0.01706984600317358,0.17636037530116586,0.048,442
META,OFI×LM,5,0.004946192387865547,-0.08964534243262483,0.09103101149401531,0.459,439
META,OFI×LM,15,0.023839980619406727,-0.07161854319094424,0.12273419451757564,0.312,433
META,LLM,1,-0.03858206305946473,-0.13225800511332958,0.05389470701092778,0.789,442
META,LLM,5,0.08630422638593128,-0.008489958692475276,0.16882964890797716,0.036,439
META,LLM,15,0.018842260806202334,-0.07384901590724754,0.11444576173922055,0.357,433
META,LM,1,-0.0906626489563507,-0.1818870304437681,0.008637830415878019,0.963,442
META,LM,5,-0.027964970967250573,-0.12835724784287628,0.07094817457951258,0.72,439
META,LM,15,0.01094603313764677,-0.08187382232806768,0.10683066966588083,0.407,433
NVDA,OFI×LLM,1,0.011484341665942192,-0.05934882785327118,0.0784178424941252,0.373,865
NVDA,OFI×LLM,5,0.02544379164511981,-0.04530152681413971,0.09082303228929034,0.235,858
NVDA,OFI×LLM,15,0.03498651069750495,-0.03449366361397716,0.1102811814824759,0.172,846
NVDA,OFI×LM,1,0.018813467405832122,-0.04621228836783315,0.08196850181269626,0.299,865
NVDA,OFI×LM,5,0.059578610643920095,-0.0037651675680955934,0.12585544614034433,0.028,858
NVDA,OFI×LM,15,0.02695466034349679,-0.03565642781414646,0.09427095355738867,0.204,846
NVDA,LLM,1,0.01196592483775306,-0.05771190139293863,0.07666486358140939,0.372,865
NVDA,LLM,5,0.08143312131214774,0.012608925131618803,0.14867026958412544,0.008,858
NVDA,LLM,15,0.037314594971240095,-0.040967290294100546,0.10572355125726206,0.161,846
NVDA,LM,1,0.02944156816344561,-0.041517054282297204,0.09209656463793926,0.206,865
NVDA,LM,5,-0.01919028431128187,-0.08692591387835949,0.038739127956999415,0.761,858
NVDA,LM,15,0.02545499724945169,-0.03958966034552253,0.08993254003852562,0.238,846
TSLA,OFI×LLM,1,0.052905213740068936,-0.04178357925669098,0.15053202019989081,0.142,395
TSLA,OFI×LLM,5,0.03128330746278444,-0.06470300833971547,0.1299949860666625,0.257,392
TSLA,OFI×LLM,15,-0.042100269609588105,-0.14973977773357222,0.05225290439535421,0.798,382
TSLA,OFI×LM,1,-0.022472078301494697,-0.12675335172992985,0.07477917987099865,0.639,395
TSLA,OFI×LM,5,-0.024989225341180935,-0.12510669592108062,0.0774921571576458,0.685,392
TSLA,OFI×LM,15,-0.1156126591099935,-0.20731833600917648,-0.02398324352893217,0.991,382
TSLA,LLM,1,0.037013105991972536,-0.057377169488980244,0.13425911071192662,0.219,395
TSLA,LLM,5,0.0053135527352719345,-0.099838291122304,0.10267442279936247,0.475,392
TSLA,LLM,15,-0.02105048195951536,-0.1281010792445891,0.08590014255208135,0.655,382
TSLA,LM,1,0.03633127770954881,-0.07532342144968075,0.1308594666667605,0.244,395
TSLA,LM,5,0.002760469140255592,-0.09592412884742403,0.0966793482504469,0.486,392
TSLA,LM,15,0.1338651112206398,0.04250863181577698,0.22312163641167573,0.003,382
