stock,signal,horizon,ic_raw,ci_raw,p_raw,ic_madj,ci_madj,p_madj,n,type
AAPL,LM,1,-0.04261113517324632,"[-0.1305,0.0416]",0.826,0.06632076901448272,"[-0.0647,0.1850]",0.155,507,unconditional
AAPL,LM,5,-0.015539004478161773,"[-0.1015,0.0746]",0.639,0.10254953806828544,"[-0.0180,0.2148]",0.049,502,unconditional
AAPL,LM,15,-0.022414994780812433,"[-0.1102,0.0633]",0.677,0.017105634870306342,"[-0.0953,0.1290]",0.4,498,unconditional
AAPL,LLM,1,0.015192205450556055,"[-0.0756,0.1047]",0.361,-0.06638171472818073,"[-0.1742,0.0478]",0.856,507,unconditional
AAPL,LLM,5,-0.02403763153334112,"[-0.1132,0.0689]",0.708,0.034803400051078286,"[-0.0878,0.1639]",0.308,502,unconditional
AAPL,LLM,15,-0.07858951583965473,"[-0.1620,0.0142]",0.948,0.023870492611350342,"[-0.1015,0.1549]",0.371,498,unconditional
AMD,LM,1,-0.0640484759619399,"[-0.1940,0.0517]",0.862,-0.0699232280807901,"[-0.2230,0.0724]",0.824,271,unconditional
AMD,LM,5,-0.013304758174284824,"[-0.1236,0.1009]",0.573,0.02586106864299961,"[-0.1180,0.1757]",0.354,271,unconditional
AMD,LM,15,0.037090004423521374,"[-0.0752,0.1565]",0.251,0.029109358372409785,"[-0.1267,0.1686]",0.344,264,unconditional
AMD,LLM,1,-0.03565323711615701,"[-0.1622,0.0873]",0.708,0.07113747790787804,"[-0.0772,0.2204]",0.171,271,unconditional
AMD,LLM,5,-0.02325150718433858,"[-0.1519,0.0995]",0.633,0.10723801699434628,"[-0.0469,0.2602]",0.077,271,unconditional
AMD,LLM,15,0.07452518598604746,"[-0.0512,0.1965]",0.135,0.11720562945498232,"[-0.0196,0.2643]",0.056,264,unconditional
META,LM,1,-0.0906626489563507,"[-0.1819,0.0086]",0.963,-0.07612028850445957,"[-0.1946,0.0398]",0.892,442,unconditional
META,LM,5,-0.027964970967250573,"[-0.1284,0.0709]",0.72,0.031210920408480194,"[-0.0895,0.1409]",0.292,439,unconditional
META,LM,15,0.01094603313764677,"[-0.0819,0.1068]",0.407,-0.05493094970937911,"[-0.1815,0.0665]",0.778,433,unconditional
META,LLM,1,-0.03858206305946473,"[-0.1323,0.0539]",0.789,-0.04246179718478046,"[-0.1587,0.0807]",0.749,442,unconditional
META,LLM,5,0.08630422638593128,"[-0.0085,0.1688]",0.036,0.030454733464097234,"[-0.0864,0.1508]",0.303,439,unconditional
META,LLM,15,0.018842260806202334,"[-0.0738,0.1144]",0.357,-0.02115159256996198,"[-0.1544,0.1053]",0.625,433,unconditional
NVDA,LM,1,0.02944156816344561,"[-0.0415,0.0921]",0.206,0.09706333418644694,"[0.0012,0.1876]",0.021,865,unconditional
NVDA,LM,5,-0.01919028431128187,"[-0.0869,0.0387]",0.761,-0.05407511129035921,"[-0.1390,0.0345]",0.89,858,unconditional
NVDA,LM,15,0.02545499724945169,"[-0.0396,0.0899]",0.238,0.021630507776465042,"[-0.0778,0.1081]",0.324,846,unconditional
NVDA,LLM,1,0.01196592483775306,"[-0.0577,0.0767]",0.372,0.039969087487358716,"[-0.0537,0.1238]",0.189,865,unconditional
NVDA,LLM,5,0.08143312131214774,"[0.0126,0.1487]",0.008,0.009370601383060258,"[-0.0817,0.1016]",0.429,858,unconditional
NVDA,LLM,15,0.037314594971240095,"[-0.0410,0.1057]",0.161,0.0071557428109410804,"[-0.0793,0.1058]",0.418,846,unconditional
TSLA,LM,1,0.03633127770954881,"[-0.0753,0.1309]",0.244,-0.016343206203881702,"[-0.1625,0.1179]",0.609,395,unconditional
TSLA,LM,5,0.002760469140255592,"[-0.0959,0.0967]",0.486,-0.13711217847771245,"[-0.2678,-0.0050]",0.979,392,unconditional
TSLA,LM,15,0.1338651112206398,"[0.0425,0.2231]",0.003,-0.007558334308460111,"[-0.1494,0.1250]",0.566,382,unconditional
TSLA,LLM,1,0.037013105991972536,"[-0.0574,0.1343]",0.219,0.12011916682433914,"[-0.0276,0.2611]",0.057,395,unconditional
TSLA,LLM,5,0.0053135527352719345,"[-0.0998,0.1027]",0.475,-0.07254106459470351,"[-0.2341,0.0948]",0.808,392,unconditional
TSLA,LLM,15,-0.02105048195951536,"[-0.1281,0.0859]",0.655,-0.12938891283271486,"[-0.2672,0.0213]",0.956,382,unconditional
AAPL,OFI×LLM|confirmed,1,0.11896258305533734,"[-0.0388,0.2687]",0.074,-0.12073684717252496,"[-0.3364,0.1105]",0.837,169,confirmed
AAPL,OFI×LLM|confirmed,5,0.03659173668076249,"[-0.1182,0.1989]",0.336,0.18058950170290483,"[-0.0376,0.3978]",0.061,167,confirmed
AAPL,OFI×LLM|confirmed,15,-0.05403023847873692,"[-0.2168,0.1109]",0.742,-0.01566995717565105,"[-0.2222,0.2180]",0.556,163,confirmed
AMD,OFI×LLM|confirmed,1,-0.013979062231590565,"[-0.2435,0.2212]",0.547,0.03817727146429565,"[-0.2303,0.2977]",0.392,92,confirmed
AMD,OFI×LLM|confirmed,5,-0.015011636330009402,"[-0.2304,0.2143]",0.564,0.10036121144762435,"[-0.1603,0.3546]",0.219,92,confirmed
AMD,OFI×LLM|confirmed,15,-0.054525474443703544,"[-0.2746,0.1673]",0.675,0.03822326125073058,"[-0.2166,0.3151]",0.375,90,confirmed
META,OFI×LLM|confirmed,1,0.08952903061352437,"[-0.0919,0.2556]",0.155,-0.008778699594829251,"[-0.2437,0.2416]",0.522,142,confirmed
META,OFI×LLM|confirmed,5,0.0707485075769172,"[-0.1006,0.2348]",0.217,0.12798250691362792,"[-0.1405,0.3777]",0.182,140,confirmed
META,OFI×LLM|confirmed,15,-0.001932161979580603,"[-0.1643,0.1717]",0.5,0.08547954393024813,"[-0.1506,0.3207]",0.245,137,confirmed
NVDA,OFI×LLM|confirmed,1,-0.0008779532687776479,"[-0.1056,0.1078]",0.507,-0.11125171500767785,"[-0.2396,0.0231]",0.938,363,confirmed
NVDA,OFI×LLM|confirmed,5,0.03857827325277074,"[-0.0725,0.1453]",0.258,-0.06083772180768891,"[-0.1995,0.0836]",0.81,361,confirmed
NVDA,OFI×LLM|confirmed,15,-0.004670922508218803,"[-0.1088,0.0960]",0.564,-0.09718691895405723,"[-0.2261,0.0416]",0.919,353,confirmed
TSLA,OFI×LLM|confirmed,1,0.06435726861272806,"[-0.0998,0.2232]",0.201,0.03089747151986664,"[-0.2177,0.2672]",0.428,143,confirmed
TSLA,OFI×LLM|confirmed,5,-0.04610706195213237,"[-0.2197,0.1359]",0.707,0.0002778549597110309,"[-0.2452,0.2510]",0.501,143,confirmed
TSLA,OFI×LLM|confirmed,15,-0.16922379657459088,"[-0.3365,0.0095]",0.969,-0.15912516533882926,"[-0.4039,0.1060]",0.898,136,confirmed
AMD|direct,OFI×LLM,1,-0.048170106274296826,"[-0.2783,0.1891]",0.657,-0.037948717948717944,"[-0.4998,0.3881]",0.552,89,relevance|direct
AMD|direct,OFI×LLM,5,0.055975485188968346,"[-0.1665,0.2882]",0.307,0.013333333333333332,"[-0.3836,0.4351]",0.469,89,relevance|direct
AMD|direct,OFI×LLM,15,0.08200117256204807,"[-0.1408,0.3166]",0.23,-0.07846153846153846,"[-0.4813,0.3660]",0.634,85,relevance|direct
AMD|macro,OFI×LLM,1,-0.04395604395604395,"[-0.4491,0.3690]",0.589,0.16315789473684209,"[-0.4067,0.6079]",0.257,27,relevance|macro
AMD|macro,OFI×LLM,5,-0.1813186813186813,"[-0.5247,0.2296]",0.814,0.10175438596491228,"[-0.4263,0.5915]",0.342,27,relevance|macro
AMD|macro,OFI×LLM,15,0.01465201465201465,"[-0.3379,0.3717]",0.46,-0.02456140350877193,"[-0.4706,0.4271]",0.56,27,relevance|macro
AMD|sector,OFI×LLM,1,0.06460570159200298,"[-0.1969,0.3236]",0.283,0.13008989952406133,"[-0.1292,0.3653]",0.161,73,relevance|sector
AMD|sector,OFI×LLM,5,0.013791188448722699,"[-0.2315,0.2622]",0.453,0.14442094130089897,"[-0.1107,0.3957]",0.13,73,relevance|sector
AMD|sector,OFI×LLM,15,-0.030449362843729042,"[-0.2622,0.2069]",0.588,0.05795875198307772,"[-0.1929,0.3231]",0.325,71,relevance|sector
AMD|unrelated,OFI×LLM,1,0.058844025248255154,"[-0.1930,0.2992]",0.322,0.07802957508571735,"[-0.2037,0.3301]",0.29,82,relevance|unrelated
AMD|unrelated,OFI×LLM,5,0.05168040478325018,"[-0.1710,0.2763]",0.329,0.25809782528352665,"[0.0208,0.4751]",0.016,82,relevance|unrelated
AMD|unrelated,OFI×LLM,15,-0.09811142224749878,"[-0.3144,0.1350]",0.804,0.06081022054785105,"[-0.1987,0.3089]",0.316,81,relevance|unrelated
TSLA|direct,OFI×LLM,1,0.023735936934008328,"[-0.1641,0.2062]",0.407,0.18681318681318684,"[-0.5052,0.7323]",0.286,125,relevance|direct
TSLA|direct,OFI×LLM,5,-0.0070939823683768,"[-0.2078,0.1921]",0.525,-0.1252747252747253,"[-0.7054,0.5269]",0.661,123,relevance|direct
TSLA|direct,OFI×LLM,15,-0.07700524857942444,"[-0.2692,0.1200]",0.79,0.0879120879120879,"[-0.6081,0.6113]",0.389,119,relevance|direct
TSLA|macro,OFI×LLM,1,0.06132756132756134,"[-0.2406,0.3369]",0.361,-0.027520814061054583,"[-0.3444,0.3121]",0.582,55,relevance|macro
TSLA|macro,OFI×LLM,5,0.09978354978354981,"[-0.2156,0.3875]",0.279,0.1170212765957447,"[-0.2266,0.4084]",0.247,55,relevance|macro
TSLA|macro,OFI×LLM,15,0.021286889211417515,"[-0.2965,0.3078]",0.463,-0.11452358926919518,"[-0.4304,0.2239]",0.763,53,relevance|macro
TSLA|sector,OFI×LLM,1,-0.09213286713286713,"[-0.3403,0.1663]",0.765,-0.23517786561264822,"[-0.5690,0.2026]",0.847,65,relevance|sector
TSLA|sector,OFI×LLM,5,-0.11863553113553112,"[-0.3567,0.1575]",0.848,0.0378317334839074,"[-0.4033,0.5027]",0.421,64,relevance|sector
TSLA|sector,OFI×LLM,15,-0.2065092165898618,"[-0.4327,0.0370]",0.944,0.015245623941276118,"[-0.4145,0.4468]",0.482,63,relevance|sector
TSLA|unrelated,OFI×LLM,1,0.181766366411827,"[0.0251,0.3282]",0.005,0.015530427378805155,"[-0.1990,0.1925]",0.464,150,relevance|unrelated
