event_id,stock,headline,model_relevance,human_relevance
0,NFLX,"U.S. benchmarks digest the July breakout, S&P 500 maintains first support",macro,
1,NFLX,It Might Be Time to Take Profits in Netflix and Spotify Stock,direct,
2,QCOM,"Active Managers Loved Tech, Healthcare Stocks In Q4",macro,
3,NFLX,Hedge Funds’ Top Holdings Are Beating the Market,macro,
4,NFLX,Brace yourself: 10 steps to take now to prepare for the next recession,macro,
5,TSLA,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,unrelated,
6,QCOM,"The ‘smart’ money is betting on these tech stocks, but it’s not the FAANG gang",macro,
7,NFLX,GameStop Stock Can Quintuple Within Two Years: Portfolio Manager,unrelated,
8,QCOM,"Qualcomm Slips: Intel Threat, iPhone Softness Overshadow FYQ2 Results",direct,
9,NFLX,This fund manager says avoid Netflix altogether—don’t even short the stock,direct,
10,AMD,"AMD market-share gains should fuel a strong outlook, UBS says",direct,
11,NFLX,Monday’s nasty stock-market reversal is evidence that the worst is far from over for Wall Street,macro,
12,NFLX,"Corporate earnings could be soft for second quarter, but should bounce back next year",macro,
13,AMD,What could turn around this slumping stock market: Big government checks to families,macro,
14,NFLX,Amazon CEO Jeff Bezos Is Corporate America’s Big Political Spender,unrelated,
15,NFLX,Netflix Stock Extends Rally Ahead of Earnings,direct,
16,TSLA,Here's How Much You Would Have Made Owning Tesla Stock In The Last 15 Years,unrelated,
17,NFLX,Disney’s Investor Day Is Today. It’s All About Streaming.,sector,
18,AMD,"In latest semiconductor megamerger, Marvell seeks data-center depth with $8 billion Inphi buy",sector,
19,NFLX,This New ETF Is Targeting Companies That Could Join the Highflying Nasdaq 100,macro,
20,QCOM,"Cirrus Rises Despite Apple Surprise, Qorvo Falls; Is the Bottom In?",sector,
21,NFLX,The Playoffs to Be the ‘Netflix of Sports’ Have Begun,sector,
22,NFLX,"Coronavirus is driving sales of face masks, a game called Plague, and an ‘I Survived Coronavirus 2020’ T-shirt",unrelated,
23,NFLX,"Regal owner Cineworld to shut all theater screens, putting 45,000 jobs at risk",sector,
24,AMD,"Here’s why Amazon, Facebook and the gang are not going to take down this market",unrelated,
25,NFLX,"What’s worth streaming in April 2020: ‘The Good Fight,’ ‘Bosch,’ ‘Money Heist’ and more",direct,
26,QCOM,"Nvidia’s Production Forecast at TSM Remains Bullish, Says BlueFin",sector,
27,NFLX,Dow Rises as Big Tech Refuses to Drop,macro,
28,AMD,AMD stock falls after Bernstein cautions that crypto GPU demand could hurt down the line,direct,
29,TSLA,'Trump Administration Moves To Ease Rules For Self-Driving Cars' -Bloomberg,sector,
30,AMD,A ‘megaphone’ pattern in the stock market sounds scary — but there’s no need for dread,macro,
31,AMD,5 Tech Hardware Stocks to Consider Buying Now,sector,
32,NFLX,Big Tech shake-up — three stocks to buy and three to sell,unrelated,
33,AMD,AMD: Analysts See Competitive Performance from ‘Threadripper’ et al.,direct,
34,QCOM,"Nvidia, Intel stocks get downgraded at Morgan Stanley",sector,
35,NFLX,Disney Earnings: Future-Proofing TV…Or Trying To,unrelated,
36,NFLX,Pressure grows for U.K. to intervene in Nvidia’s $40 billion Arm takeover,macro,
37,QCOM,"Qualcomm’s Stock Surge Isn’t Over, Morgan Stanley Says.",direct,
38,NFLX,3 winners and 3 losers in the streaming video wars of 2018,sector,
39,TSLA,xAI's $230 Billion Valuation Looks Punchy Next To OpenAI's $500 Billion,unrelated,
40,TSLA,"QuantumScape, Tesla Rumors Swirl: Here Are The Facts",sector,
41,NFLX,Why the Netflix/Amazon Debate is Already Over,sector,
42,NFLX,Value Discipline: Short-Selling Netflix?,direct,
43,QCOM,"Tech Today: Netflix’s Halo, Finisar’s Dismal Report, Big Blue’s View",unrelated,
44,NFLX,A ‘Top Pick’ Tag for Roku Pulls It Back From 2018 Lows,unrelated,
45,AMD,"If You Invested $100 In Advanced Micro Devices Stock 10 Years Ago, You Would Have This Much Today",direct,
46,QCOM,"Qualcomm, Skyworks: ZTE Ban a Multi-Hundred Million-Dollar Risk, Says Rosenblatt",direct,
47,AMD,Ride the bitcoin wave with these 11 cryptocurrency-related stocks,unrelated,
